Date,Time,Indoor Temperature F,Indoor Humidity %,Outdoor Temperature F,Outdoor Humidity %,Wind Speed(mph),wind direction(Degree),Light Intensity,UV index,Daily Rainfall accumulation,Total Accumulative Rainfall,Strike Count now, Daily Strike Count,Total Strike Count,Closet Strike distance,Interference,barometric Pressure(real),Calibrated barometric Pressure,Dew Point,Rain Rate,wind gust,Wind Speed average,Feels like,Heat Index,Wind Chill, 
20210216,0:17:10,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:17:20,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:17:30,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:17:40,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:17:50,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:18:00,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:18:10,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:18:20,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:18:30,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:18:40,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:18:50,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:19:00,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:19:10,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:19:20,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:19:30,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:19:40,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:19:50,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:20:00,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:20:10,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:20:20,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:20:30,71,50,77,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
20210216,0:20:40,71,50,77,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
20210216,0:20:50,71,50,77,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
20210216,0:21:00,71,50,77,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
20210216,0:21:10,71,50,77,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
20210216,0:21:20,71,50,77.1,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
20210216,0:21:30,71,50,77.1,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
20210216,0:21:40,71,50,77.1,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
20210216,0:21:50,71,50,77.1,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
20210216,0:22:00,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:22:10,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:22:20,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:22:30,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:22:40,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:22:50,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:23:00,71,50,77,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
20210216,0:23:10,71,50,77,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
20210216,0:23:20,71,50,77,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
20210216,0:23:30,71,50,77,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
20210216,0:23:40,71,50,77,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
20210216,0:23:50,71,50,77,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
20210216,0:24:00,71,50,77,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
20210216,0:24:10,71,50,77,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
20210216,0:24:20,71,50,77,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
20210216,0:24:30,71,50,77,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
20210216,0:24:40,71,50,77,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
20210216,0:24:50,71,50,77,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
20210216,0:25:00,71,50,77,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
20210216,0:25:10,71,50,77,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
20210216,0:25:20,71,50,77,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
20210216,0:25:30,71,50,77,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,51,0,0,0,77,--       ,--       , 
