Subspecies,iNat_Obs,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Species
,91,HALICTIDAE,Halictinae,Halictini,,Agapostemon,Agapostemon,Agapostemon virescens
,34,HALICTIDAE,Halictinae,Halictini,,Halictus,Nealictus,Halictus farinosus
,39,HALICTIDAE,Halictinae,Halictini,,Halictus,Odontalictus,Halictus ligatus
,359,HALICTIDAE,Halictinae,Halictini,,Halictus,Protohalictus,Halictus rubicundus
Halictus confusus arapahonum,,HALICTIDAE,Halictinae,Halictini,,Halictus,Seladonia,Halictus confusus
Halictus confusus confusus,,HALICTIDAE,Halictinae,Halictini,,Halictus,Seladonia,Halictus confusus
,6,HALICTIDAE,Halictinae,Halictini,,Halictus,Seladonia,Halictus tripartitus
,,HALICTIDAE,Halictinae,Halictini,,Halictus,Seladonia,Halictus virgatellus
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum abundipunctum
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum albipenne
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum albohirtum
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum brunneiventre
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum cressonii
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum dashwoodi
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum hyalinum
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum imbrex
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum incompletum
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum knereri
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum laevissimum
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum lilliputense
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum macroprosopum
,1,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum marinense
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum nevadense
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum nigroviride
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum novascotiae
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum obnubilum
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum pacatum
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum planatum
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum prasinogaster–
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum pruinosum
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum punctatoventre
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum reasbeckae
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum ruidosense
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum sagax
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum sandhousiellum
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum sedi
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum subversans
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum tenax
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum testaceum
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum tuolumnense
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Dialictus,Lasioglossum yukonae
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Evylaeus,Lasioglossum argemonis
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Hemihalictus,Lasioglossum diatretum
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Hemihalictus,Lasioglossum glabriventre–
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Hemihalictus,Lasioglossum inconditum
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Hemihalictus,Lasioglossum kincaidii
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Hemihalictus,Lasioglossum macoupinense
,20,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Hemihalictus,Lasioglossum ovaliceps
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Hemihalictus,Lasioglossum pectoraloides–
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Lasioglossum,Lasioglossum anhypops
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Lasioglossum,Lasioglossum athabascense
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Lasioglossum,Lasioglossum colatum
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Lasioglossum,Lasioglossum egregium
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Lasioglossum,Lasioglossum mellipes
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Lasioglossum,Lasioglossum olympiae
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Lasioglossum,Lasioglossum pacificum
,6,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Lasioglossum,Lasioglossum sisymbrii
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Lasioglossum,Lasioglossum titusi
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Lasioglossum,Lasioglossum trizonatum
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Leuchalictus,Lasioglossum zonulum
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Sphecodogastra,Lasioglossum arctoum
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Sphecodogastra,Lasioglossum boreale
