"Subspecies","iNat_Obs","Source","Family","Subfamily","Tribe","Subtribe","Genus","Subgenus","Species"
,5,"ITIS","Megachilidae","Megachilinae","Osmiini",,"Hoplitis",,"Hoplitis albifrons"
,4,"ITIS","Megachilidae","Megachilinae","Osmiini",,"Hoplitis",,"Hoplitis fulgida"
,1,"ITIS","Megachilidae","Megachilinae","Osmiini",,"Hoplitis",,"Hoplitis producta"
,5,"ITIS","Colletidae","Hylaeinae",,,"Hylaeus",,"Hylaeus annulatus"
,5,"Sheffield&Heron","COLLETIDAE","Hylaeinae","Colletini",,"Hylaeus","Hylaeus","Hylaeus annulatus"
,1,"ITIS","Colletidae","Hylaeinae",,,"Hylaeus",,"Hylaeus basalis"
,1,"Sheffield&Heron","COLLETIDAE","Hylaeinae","Colletini",,"Hylaeus","Cephalylaeus","Hylaeus basalis"
,1,"ITIS","Colletidae","Hylaeinae",,,"Hylaeus",,"Hylaeus mesillae"
,1,"Sheffield&Heron","COLLETIDAE","Hylaeinae","Colletini",,"Hylaeus","Hylaeus","Hylaeus mesillae"
,8,"ITIS","Colletidae","Hylaeinae",,,"Hylaeus",,"Hylaeus punctatus"
,1,"ITIS","Halictidae","Halictinae","Halictini",,"Lasioglossum",,"Lasioglossum marinense"
,1,"Sheffield&Heron","HALICTIDAE","Halictinae","Halictini",,"Lasioglossum","Dialictus","Lasioglossum marinense"
,20,"ITIS","Halictidae","Halictinae","Halictini",,"Lasioglossum",,"Lasioglossum ovaliceps"
,20,"Sheffield&Heron","HALICTIDAE","Halictinae","Halictini",,"Lasioglossum","Hemihalictus","Lasioglossum ovaliceps"
,6,"ITIS","Halictidae","Halictinae","Halictini",,"Lasioglossum",,"Lasioglossum sisymbrii"
,6,"Sheffield&Heron","HALICTIDAE","Halictinae","Halictini",,"Lasioglossum","Lasioglossum","Lasioglossum sisymbrii"
,1,"ITIS","Melittidae","Melittinae",,,"Macropis","Macropis","Macropis nuda"
,1,"Sheffield&Heron","MELITTIDAE","Melittinae",,,"Macropis","Macropis","Macropis nuda"
,4,"ITIS","Megachilidae","Megachilinae","Megachilini",,"Megachile",,"Megachile angelarum"
,4,"Sheffield&Heron","MEGACHILIDAE","Megachilinae","Megachilini",,"Megachile","Chelostomoides","Megachile angelarum"
,4,"ITIS","Megachilidae","Megachilinae","Megachilini",,"Megachile",,"Megachile apicalis"
,4,"Sheffield&Heron","MEGACHILIDAE","Megachilinae","Megachilini",,"Megachile","Eutricharaea","Megachile apicalis"
,48,"ITIS","Megachilidae","Megachilinae","Megachilini",,"Megachile",,"Megachile fidelis"
,48,"Sheffield&Heron","MEGACHILIDAE","Megachilinae","Megachilini",,"Megachile","Sayapis","Megachile fidelis"
,3,"ITIS","Megachilidae","Megachilinae","Megachilini",,"Megachile",,"Megachile frigida"
,3,"Sheffield&Heron","MEGACHILIDAE","Megachilinae","Megachilini",,"Megachile","Xanthosarus","Megachile frigida"
,4,"ITIS","Megachilidae","Megachilinae","Megachilini",,"Megachile",,"Megachile inermis"
,4,"Sheffield&Heron","MEGACHILIDAE","Megachilinae","Megachilini",,"Megachile","Megachile","Megachile inermis"
,113,"ITIS","Megachilidae","Megachilinae","Megachilini",,"Megachile",,"Megachile melanophaea"
,113,"Sheffield&Heron","MEGACHILIDAE","Megachilinae","Megachilini",,"Megachile","Xanthosarus","Megachile melanophaea"
,2,"ITIS","Megachilidae","Megachilinae","Megachilini",,"Megachile",,"Megachile montivaga"
,2,"Sheffield&Heron","MEGACHILIDAE","Megachilinae","Megachilini",,"Megachile","Megachile","Megachile montivaga"
,447,"ITIS","Megachilidae","Megachilinae","Megachilini",,"Megachile",,"Megachile perihirta"
,447,"Sheffield&Heron","MEGACHILIDAE","Megachilinae","Megachilini",,"Megachile","Xanthosarus","Megachile perihirta"
,14,"ITIS","Megachilidae","Megachilinae","Megachilini",,"Megachile",,"Megachile pugnata"
,7,"ITIS","Megachilidae","Megachilinae","Megachilini",,"Megachile",,"Megachile relativa"
,7,"Sheffield&Heron","MEGACHILIDAE","Megachilinae","Megachilini",,"Megachile","Megachile","Megachile relativa"
,22,"ITIS","Megachilidae","Megachilinae","Megachilini",,"Megachile",,"Megachile rotundata"
,22,"Sheffield&Heron","MEGACHILIDAE","Megachilinae","Megachilini",,"Megachile","Eutricharaea","Megachile rotundata"
,2,"ITIS","Apidae","Apinae","Melectini",,"Melecta",,"Melecta pacifica"
,62,"ITIS","Apidae","Apinae","Melectini",,"Melecta",,"Melecta separata"
,1,"ITIS","Apidae","Apinae","Eucerini","Eucerina","Melissodes",,"Melissodes agilis"
,1,"Sheffield&Heron","APIDAE","Apinae","Eucerini",,"Melissodes","Eumelissodes","Melissodes agilis"
,4,"ITIS","Apidae","Apinae","Eucerini","Eucerina","Melissodes",,"Melissodes bimatris"
